,sample_id,altitude_km,inclination_deg,eccentricity,mission_duration_years,solar_max_fraction,period_min,p_trapped_fluence_0.1MeV,total_p_fluence_0.1MeV,p_gcr_fluence_0.1MeV,p_spe_fluence_0.1MeV,p_spe_ratio_0.1MeV,p_trapped_ratio_0.1MeV,p_gcr_ratio_0.1MeV,p_trapped_fluence_0.2MeV,total_p_fluence_0.2MeV,p_gcr_fluence_0.2MeV,p_spe_fluence_0.2MeV,p_spe_ratio_0.2MeV,p_trapped_ratio_0.2MeV,p_gcr_ratio_0.2MeV,p_trapped_fluence_0.3MeV,total_p_fluence_0.3MeV,p_gcr_fluence_0.3MeV,p_spe_fluence_0.3MeV,p_spe_ratio_0.3MeV,p_trapped_ratio_0.3MeV,p_gcr_ratio_0.3MeV,p_trapped_fluence_0.5MeV,total_p_fluence_0.5MeV,p_gcr_fluence_0.5MeV,p_spe_fluence_0.5MeV,p_spe_ratio_0.5MeV,p_trapped_ratio_0.5MeV,p_gcr_ratio_0.5MeV,p_trapped_fluence_0.7MeV,total_p_fluence_0.7MeV,p_gcr_fluence_0.7MeV,p_spe_fluence_0.7MeV,p_spe_ratio_0.7MeV,p_trapped_ratio_0.7MeV,p_gcr_ratio_0.7MeV,p_trapped_fluence_1.0MeV,total_p_fluence_1.0MeV,p_gcr_fluence_1.0MeV,p_spe_fluence_1.0MeV,p_spe_ratio_1.0MeV,p_trapped_ratio_1.0MeV,p_gcr_ratio_1.0MeV,p_trapped_fluence_1.5MeV,total_p_fluence_1.5MeV,p_gcr_fluence_1.5MeV,p_spe_fluence_1.5MeV,p_spe_ratio_1.5MeV,p_trapped_ratio_1.5MeV,p_gcr_ratio_1.5MeV,p_trapped_fluence_2.0MeV,total_p_fluence_2.0MeV,p_gcr_fluence_2.0MeV,p_spe_fluence_2.0MeV,p_spe_ratio_2.0MeV,p_trapped_ratio_2.0MeV,p_gcr_ratio_2.0MeV,p_trapped_fluence_3.0MeV,total_p_fluence_3.0MeV,p_gcr_fluence_3.0MeV,p_spe_fluence_3.0MeV,p_spe_ratio_3.0MeV,p_trapped_ratio_3.0MeV,p_gcr_ratio_3.0MeV,p_trapped_fluence_5.0MeV,total_p_fluence_5.0MeV,p_gcr_fluence_5.0MeV,p_spe_fluence_5.0MeV,p_spe_ratio_5.0MeV,p_trapped_ratio_5.0MeV,p_gcr_ratio_5.0MeV,p_trapped_fluence_7.0MeV,total_p_fluence_7.0MeV,p_gcr_fluence_7.0MeV,p_spe_fluence_7.0MeV,p_spe_ratio_7.0MeV,p_trapped_ratio_7.0MeV,p_gcr_ratio_7.0MeV,p_trapped_fluence_10.0MeV,total_p_fluence_10.0MeV,p_gcr_fluence_10.0MeV,p_spe_fluence_10.0MeV,p_spe_ratio_10.0MeV,p_trapped_ratio_10.0MeV,p_gcr_ratio_10.0MeV,p_trapped_fluence_15.0MeV,total_p_fluence_15.0MeV,p_gcr_fluence_15.0MeV,p_spe_fluence_15.0MeV,p_spe_ratio_15.0MeV,p_trapped_ratio_15.0MeV,p_gcr_ratio_15.0MeV,p_trapped_fluence_20.0MeV,total_p_fluence_20.0MeV,p_gcr_fluence_20.0MeV,p_spe_fluence_20.0MeV,p_spe_ratio_20.0MeV,p_trapped_ratio_20.0MeV,p_gcr_ratio_20.0MeV,p_trapped_fluence_30.0MeV,total_p_fluence_30.0MeV,p_gcr_fluence_30.0MeV,p_spe_fluence_30.0MeV,p_spe_ratio_30.0MeV,p_trapped_ratio_30.0MeV,p_gcr_ratio_30.0MeV,p_trapped_fluence_50.0MeV,total_p_fluence_50.0MeV,p_gcr_fluence_50.0MeV,p_spe_fluence_50.0MeV,p_spe_ratio_50.0MeV,p_trapped_ratio_50.0MeV,p_gcr_ratio_50.0MeV,p_trapped_fluence_70.0MeV,total_p_fluence_70.0MeV,p_gcr_fluence_70.0MeV,p_spe_fluence_70.0MeV,p_spe_ratio_70.0MeV,p_trapped_ratio_70.0MeV,p_gcr_ratio_70.0MeV,p_trapped_fluence_100.0MeV,total_p_fluence_100.0MeV,p_gcr_fluence_100.0MeV,p_spe_fluence_100.0MeV,p_spe_ratio_100.0MeV,p_trapped_ratio_100.0MeV,p_gcr_ratio_100.0MeV,p_trapped_fluence_150.0MeV,total_p_fluence_150.0MeV,p_gcr_fluence_150.0MeV,p_spe_fluence_150.0MeV,p_spe_ratio_150.0MeV,p_trapped_ratio_150.0MeV,p_gcr_ratio_150.0MeV,p_trapped_fluence_200.0MeV,total_p_fluence_200.0MeV,p_gcr_fluence_200.0MeV,p_spe_fluence_200.0MeV,p_spe_ratio_200.0MeV,p_trapped_ratio_200.0MeV,p_gcr_ratio_200.0MeV,p_trapped_fluence_300.0MeV,total_p_fluence_300.0MeV,p_gcr_fluence_300.0MeV,p_spe_fluence_300.0MeV,p_spe_ratio_300.0MeV,p_trapped_ratio_300.0MeV,p_gcr_ratio_300.0MeV,p_trapped_fluence_400.0MeV,total_p_fluence_400.0MeV,p_gcr_fluence_400.0MeV,p_spe_fluence_400.0MeV,p_spe_ratio_400.0MeV,p_trapped_ratio_400.0MeV,p_gcr_ratio_400.0MeV,e_avg_0.04MeV,e_fluence_0.04MeV,e_avg_0.10MeV,e_fluence_0.10MeV,e_avg_0.20MeV,e_fluence_0.20MeV,e_avg_0.30MeV,e_fluence_0.30MeV,e_avg_0.40MeV,e_fluence_0.40MeV,e_avg_0.50MeV,e_fluence_0.50MeV,e_avg_0.60MeV,e_fluence_0.60MeV,e_avg_0.70MeV,e_fluence_0.70MeV,e_avg_0.80MeV,e_fluence_0.80MeV,e_avg_1.00MeV,e_fluence_1.00MeV,e_avg_1.50MeV,e_fluence_1.50MeV,e_avg_2.00MeV,e_fluence_2.00MeV,e_avg_2.50MeV,e_fluence_2.50MeV,e_avg_3.00MeV,e_fluence_3.00MeV,e_avg_3.50MeV,e_fluence_3.50MeV,e_avg_4.00MeV,e_fluence_4.00MeV,e_avg_4.50MeV,e_fluence_4.50MeV,e_avg_5.00MeV,e_fluence_5.00MeV,e_avg_5.50MeV,e_fluence_5.50MeV,e_avg_6.00MeV,e_fluence_6.00MeV,e_avg_7.00MeV,e_fluence_7.00MeV
count,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0
mean,2102.0,22699.246503665956,49.19924784399501,0.36244330851531625,8.048104313567807,0.4999596723948914,863.2790093501953,8628315196630150.0,8628414211277679.0,532860295.94625723,98481787233.46057,4.637400713436384,95.27917717003567,0.08338406658739596,6896381124981750.0,6896480139629279.0,532860295.94625723,98481787233.46057,4.646544589774079,95.26992152199763,0.0834268727705113,4713532747625125.0,4713631762272654.0,532860295.94625723,98481787233.46057,4.674711058263972,95.24147443519618,0.0836052318668252,2324527597700435.0,2324626612347964.5,532860295.94625723,98481787233.46057,4.878256837098692,95.03683947681333,0.08473483947681332,1237127516884632.0,1237226531532161.5,532860295.94625723,98481787233.46057,5.738558858501784,94.17208561236623,0.08917241379310344,531099150038099.75,531198164685629.2,532860295.94625723,98481787233.46057,9.518570749108203,90.37266111771702,0.10857074910820452,165143627977513.1,165242642625042.5,532860295.94625723,98481787233.46057,16.75699881093936,83.09748156956006,0.14523900118906063,63468995198676.66,63568009846206.07,532860295.94625723,98481787233.46057,23.93926753864447,75.87849940546968,0.18169084423305587,24031652634908.914,24130667282438.324,532860295.94625723,98481787233.46057,28.807980975029725,70.98478478002379,0.20665160523186682,8223911877839.968,8322926525369.374,532860295.94625723,98481787233.46057,39.25167181926278,60.48687039239001,0.26113436385255645,4418979001128.483,4517993648657.89,532860295.94625723,98481787233.46057,46.95858263971463,52.737897740784774,0.30314149821640907,2193952221444.2173,2292966868973.6245,532860295.94625723,98481787233.46057,53.92040428061831,45.73558145065398,0.343935790725327,920100818095.7867,989465017947.8193,532860295.94625723,68831339556.08644,59.01726753864447,40.45215457788347,0.5304565992865635,542330697413.2573,590971471245.0735,532860295.94625723,48107913535.869965,61.4718644470868,37.744749108204516,0.7834363852556481,319199064996.49585,343232426347.4066,532860295.94625723,23500501054.964493,63.02176218787158,35.36195957193817,1.6161379310344828,197601592143.10492,209377973412.53574,532860295.94625723,11243520973.484556,63.79513198573128,32.81322711058264,3.39156242568371,147487605456.96985,154427282748.38998,532860295.94625723,6406816995.473865,62.50987158145065,31.703381688466113,5.786632580261593,99904583819.8892,103193273305.65356,532860295.94625723,2755829189.8181076,57.18450178359097,30.758996432818073,12.056475624256835,54698306447.41286,57986995933.17722,532860295.94625723,2755829189.8181076,59.32528418549346,27.864325802615934,12.810325802615933,30187352546.13312,33476042031.897488,532860295.94625723,2755829189.8181076,61.03649464922711,25.506123662306777,13.457253269916766,10680432726.814291,13969122212.578657,532860295.94625723,2755829189.8181076,63.65713912009513,21.75373127229489,14.589093935790725,3803290396.0687804,7091979881.833147,532860295.94625723,2755829189.8181076,65.93241617122473,18.450506539833533,15.617003567181927,35373971.515603475,8991289953427308.0,22677181.288307384,5765510239710725.0,11139329.39136121,2830063117900825.0,6157370.964727103,1562510476899076.5,3827340.2730815248,970020159282494.6,2480394.747736962,628134267927873.0,1838815.9873642628,465515750477459.06,1385144.869010718,350591844962067.06,1088667.2139760696,275524386513369.94,724955.9874124776,183473768570616.1,296062.85442484246,74996027437731.0,124882.98573727491,31660752796519.266,54855.02873218511,13919684617630.475,21798.187777856896,5531657705328.869,8658.42823151294,2197472778133.7021,3008.6745545468298,763454098913.2174,906.8459617524476,230026014989.46664,236.49340721478748,59939419601.78754,51.59881901954836,13067490746.28739,10.396935107987057,2629081254.1178646,0.16506798143969947,41611199.1016259
std,1214.0232699581998,10439.248214883592,28.590590878901878,0.22111533478113626,4.043834751928829,0.2895110677558313,433.2229735956835,1.2031361651588294e+16,1.2031379169248696e+16,413872328.56932825,79085573980.85585,20.84584285970108,21.182341493331343,1.2799752414140049,9789665511866782.0,9789682122593706.0,413872328.56932825,79085573980.85585,20.8438832104616,21.180358715277382,1.2799961084959741,6839091032425178.0,6839106339294719.0,413872328.56932825,79085573980.85585,20.838120309513577,21.174538922647255,1.2800610215931572,3454739629818535.5,3454752642131179.0,413872328.56932825,79085573980.85585,20.810061949344156,21.14606392181536,1.2800184745843939,1850478855310172.2,1850489677126930.8,413872328.56932825,79085573980.85585,20.964373541993805,21.297133147601237,1.2799032804205202,793257545683965.8,793264920830960.5,413872328.56932825,79085573980.85585,24.943319817119306,25.25220308954953,1.2810742427966937,243458345542783.34,243459943208852.9,413872328.56932825,79085573980.85585,33.94840571935683,34.24219667970255,1.285230405138338,94912753988947.16,94908822086176.12,413872328.56932825,79085573980.85585,40.93005924961481,41.22806481638573,1.2893271058370792,39684174602663.89,39675222873905.29,413872328.56932825,79085573980.85585,42.459765056557465,42.7556883116104,1.2897783624388452,17453665694963.893,17442611402620.783,413872328.56932825,79085573980.85585,44.54348000790713,44.83134951766736,1.2895897946662096,10883957245690.91,10873111209944.707,413872328.56932825,79085573980.85585,45.135472461234855,45.415056447141595,1.288781869125502,6119088348591.226,6108803578904.951,413872328.56932825,79085573980.85585,45.020818707635534,45.29084126297638,1.2876861696171495,2813334500626.5073,2806423838828.538,413872328.56932825,55274849792.8839,44.30526811461478,44.670801380489564,1.5417557462196394,1732659102958.1694,1727873362502.2542,413872328.56932825,38632949927.95358,43.69177123650131,44.19560134369059,1.8266286897394137,1070967512192.4004,1068573196584.8047,413872328.56932825,18872023619.592743,42.93729368865653,43.92398389915304,2.5789643939739353,688578536193.1777,687401063726.7754,413872328.56932825,9029083800.49889,41.61782617212238,43.56500722426284,3.8870197221491694,527633489046.5941,526947523759.8552,413872328.56932825,5144979733.92992,40.19414093960877,43.437242649916044,5.5350371094837865,367288278794.12305,366973583165.2697,413872328.56932825,2213062327.4870024,36.722693528665545,43.420388041887904,9.61960699145329,206059790715.65515,205757712484.3312,413872328.56932825,2213062327.4870024,35.74033600354624,42.189310406906245,9.957617522789963,116011814202.7049,115726824228.84422,413872328.56932825,2213062327.4870024,34.74957602001322,40.824027326315985,10.212612749725146,42100141420.76643,41871466853.84455,413872328.56932825,2213062327.4870024,32.886339196218515,38.26109459178659,10.931244352940148,15296049406.118246,15213654662.684618,413872328.56932825,2213062327.4870024,30.77748256019375,35.092717499622935,11.365105215806523,24165769.68813626,8417264088096480.0,16749663.219592657,5725001034027819.0,7641805.01483249,2659229039786121.5,3806178.6779729985,1350098264122435.0,2298808.973266227,809483724745446.4,1594435.9167003375,544013617753039.3,1266881.3362184812,422122220662649.4,1011594.502093293,331164660525833.25,828389.4207303381,268174476507121.94,582692.4374003906,186181453640463.28,261803.66031832696,82302005292668.38,114563.451926403,35914649082824.01,53502.489580004316,16647706390741.525,21594.115534287102,6713344940618.267,8686.716255797617,2698623906344.1064,3022.0941756694597,938800087528.4977,925.87093188486,286556550647.129,265.4173718571046,80608090921.3076,64.25227876359513,19153763745.688522,14.153195440580829,4158825334.381418,0.3139416017333689,89017872.60670938
min,0.0,442.73257625397093,0.017986000883031702,6.1010223922785215e-05,1.0013224894740063,7.301622455311534e-05,93.43716106645107,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,29065090.678305723,8523819.822478356,13870450.954248797,0.0,0.0,0.0,0.0,24889038.51847241,8523819.822478356,9694398.794415485,0.0,0.0,0.0,0.0,21970293.110897664,8523819.822478356,6775653.386840738,0.0,0.0,0.0,0.0,18504516.163549554,8523819.822478356,3309876.4394926284,0.0,0.0,0.0,0.0,16778208.733076677,8523819.822478356,1583569.0090197518,0.0,0.0,0.0,0.0,16096993.78773678,8523819.822478356,902354.0636798537,0.0,0.0,0.0,0.0,15582778.431623679,8523819.822478356,388138.70756675216,0.0,0.0,0.0,0.0,15582778.431623679,8523819.822478356,388138.70756675216,0.0,0.0,0.0,0.0,15582778.431623679,8523819.822478356,388138.70756675216,0.0,0.0,0.01,0.0,15582778.431623679,8523819.822478356,388138.70756675216,0.0,0.0,0.02,0.0,15582778.431623679,8523819.822478356,388138.70756675216,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1051.0,14237.249144562342,24.434615813039397,0.17093071760696818,4.5253186521811575,0.2505739833818134,490.9610463017599,919995104667119.1,919995909677360.1,186834983.47214308,25281753223.632187,0.0,99.99,0.0,658804589326850.1,658935925670304.9,186834983.47214308,25281753223.632187,0.0,99.99,0.0,384143467256211.06,384395822754701.6,186834983.47214308,25281753223.632187,0.0,99.99,0.0,143206161467800.06,143250716197993.5,186834983.47214308,25281753223.632187,0.0,99.96,0.0,65618251140874.16,65703885421947.05,186834983.47214308,25281753223.632187,0.0,99.9,0.0,19454467155254.145,19673562215559.76,186834983.47214308,25281753223.632187,0.01,99.63,0.0,3130614424555.192,3186885640182.961,186834983.47214308,25281753223.632187,0.02,97.31,0.0,314984799410.48285,421383211987.52386,186834983.47214308,25281753223.632187,0.06,78.54,0.0,16995610338.999008,233633361093.84833,186834983.47214308,25281753223.632187,0.16,15.21,0.0,7245127.975250071,169741548918.6471,186834983.47214308,25281753223.632187,0.52,0.01,0.0,0.0,135240486742.05705,186834983.47214308,25281753223.632187,1.04,0.0,0.01,0.0,108827983649.87447,186834983.47214308,25281753223.632187,2.29,0.0,0.02,0.0,67560804283.056816,186834983.47214308,17670038182.631203,4.35,0.0,0.04,0.0,43425128579.128044,186834983.47214308,12350023616.391684,5.58,0.0,0.08,0.0,20014602739.61123,186834983.47214308,6032931418.018121,6.21,0.0,0.2,0.0,9316459831.011765,186834983.47214308,2886380625.30804,6.8,0.0,0.5,0.0,5273449236.920405,186834983.47214308,1644726103.9705157,6.86,0.0,0.95,0.0,2444417028.9062386,186834983.47214308,707462724.435524,5.78,0.0,1.99,0.0,2217114695.944254,186834983.47214308,707462724.435524,12.97,0.0,4.53,0.0,2064306756.5585437,186834983.47214308,707462724.435524,24.55,0.0,8.88,0.0,1881817699.5819206,186834983.47214308,707462724.435524,45.75,0.0,9.67,0.0,1720140788.1547883,186834983.47214308,707462724.435524,56.08,0.0,10.33,23858654.06848739,3787678299112927.0,14714109.308804253,2338519723418323.5,7279209.330757279,1151963466707227.2,3922067.572286684,630662220295685.1,2298999.5751623614,382407630283756.6,1350702.6005635406,233652657903739.78,929766.898748724,160897110726358.94,653297.0004035215,113291911196738.95,483134.4861804127,85208553632968.38,295742.95013550017,52939710434618.58,104483.3690492233,19296020049824.156,41447.02663125469,7638831271314.473,15788.17873526472,2899013269535.233,5688.846516753512,1039776787039.8845,2118.4379352696033,385648909019.68085,722.915591595315,130218373254.28857,198.28395466108242,36118838281.191216,30.216562080501483,5660637442.251486,1.3465394726160143,220034649.7805917,0.03513897532363506,6347107.330205852,0.0,0.0
50%,2102.0,23242.79026890765,49.14166318132197,0.35001322091868337,8.104617912353874,0.4997318545773537,845.5859743424345,4503750901722429.0,4503813659916944.0,428597350.25499374,84951083047.24352,0.0,100.0,0.0,3554910176007824.5,3554913739243168.0,428597350.25499374,84951083047.24352,0.0,100.0,0.0,2371215856459568.0,2371218384746338.0,428597350.25499374,84951083047.24352,0.0,100.0,0.0,1138692394975034.0,1138695221877483.8,428597350.25499374,84951083047.24352,0.01,99.99,0.0,587217549677479.1,587377180008171.0,428597350.25499374,84951083047.24352,0.01,99.99,0.0,259076895276616.1,259078008198272.75,428597350.25499374,84951083047.24352,0.02,99.98,0.0,83804065710455.47,83848799780364.8,428597350.25499374,84951083047.24352,0.07,99.93,0.0,30718819284820.375,30770020186798.23,428597350.25499374,84951083047.24352,0.2,99.79,0.0,8071551969973.65,8105369961427.196,428597350.25499374,84951083047.24352,0.81,99.18,0.0,810820963405.6821,915435003144.408,428597350.25499374,84951083047.24352,7.41,92.55,0.04,159098147139.1418,275461930411.69305,428597350.25499374,84951083047.24352,29.87,70.01,0.16,29602780425.97281,224609696566.36356,428597350.25499374,84951083047.24352,69.53,29.91,0.3,3727132030.6757665,138580828499.68976,428597350.25499374,59374398121.15247,91.41,7.34,0.49,891477783.1038276,91078034687.43323,428597350.25499374,41498224928.91098,95.62,2.55,0.74,99444953.05815539,42831591031.50316,428597350.25499374,20271697669.737453,96.4,0.63,1.58,0.0,19880500228.746864,428597350.25499374,9698740353.864998,94.06,0.0,3.44,0.0,11505693952.469866,428597350.25499374,5526565448.703285,90.26,0.0,6.0,0.0,5388663857.617698,428597350.25499374,2377197662.0740438,80.37,0.0,13.05,0.0,5074846268.302311,428597350.25499374,2377197662.0740438,80.57,0.0,13.53,0.0,4812937313.383976,428597350.25499374,2377197662.0740438,80.85,0.0,13.97,0.0,4459450591.840833,428597350.25499374,2377197662.0740438,81.19,0.0,14.5,0.0,4054556841.1405034,428597350.25499374,2377197662.0740438,81.41,0.0,14.99,30024860.51060649,7343526472682797.0,18985767.844766937,4575607196205059.0,9641382.849738626,2291580999685209.0,5504709.102301622,1267563890704369.5,3400492.0239603687,769550175643906.1,2164242.498472412,482126139844466.1,1569852.8453740338,342535023606745.5,1159264.093749592,249811439246660.84,897298.293365997,190741910660572.44,585537.3424655475,123144533509795.47,229441.34094006737,48083167623813.31,94422.85401680101,19917398723921.84,40555.801049792535,8263662536613.862,16247.371597521014,3251438415604.3613,6491.266025203664,1261552647584.8418,2302.5503198090273,442457088328.4222,685.9395008854761,133384166821.73894,168.37775660056667,31963295979.609196,33.449918540889215,6081686397.811133,5.821273591824589,1096397198.3275478,0.0005134159003406272,112652.50394090847
75%,3153.0,31630.420036431893,74.10754358333487,0.5452511777383757,11.56031643611334,0.7513894283232867,1229.0848201950212,1.1293076110609762e+16,1.1293077647941468e+16,797089473.2347658,164445980470.18234,0.01,100.0,0.0,8955268230956669.0,8955505395822620.0,797089473.2347658,164445980470.18234,0.01,100.0,0.0,6019365866987303.0,6019397709892308.0,797089473.2347658,164445980470.18234,0.01,100.0,0.0,3004596819189754.5,3004772127846344.5,797089473.2347658,164445980470.18234,0.04,100.0,0.0,1619644695265872.5,1619796076690196.5,797089473.2347658,164445980470.18234,0.1,100.0,0.0,710096044166327.8,710279769591173.1,797089473.2347658,164445980470.18234,0.37,99.99,0.0,232354717315178.1,232360327718502.0,797089473.2347658,164445980470.18234,2.66,99.98,0.02,90969660894956.56,91106177299482.48,797089473.2347658,164445980470.18234,21.33,99.94,0.12,33221816323266.906,33349497499340.312,797089473.2347658,164445980470.18234,84.28,99.84,0.32,9230548775092.646,9290341079267.621,797089473.2347658,164445980470.18234,99.27,99.47,0.41,4210876891176.0093,4264989151783.609,797089473.2347658,164445980470.18234,99.33,98.95,0.47,1664600153419.764,1744536298877.9937,797089473.2347658,164445980470.18234,99.38,97.69,0.51,550063321798.8884,603062122554.4039,797089473.2347658,114935334119.6359,99.18,95.62,0.77,268486621941.50085,301424477680.44476,797089473.2347658,80331127531.4972,98.88,94.29,1.14,107629952870.43153,123083865977.49918,797089473.2347658,39241397278.49243,97.83,93.59,2.35,41745363893.930824,54048229872.960335,797089473.2347658,18774556010.42869,95.74,92.79,4.91,23257429966.481007,29040810007.043415,797089473.2347658,10698174069.649302,92.86,92.16,8.4,10992363333.75239,13752243929.864637,797089473.2347658,4601714142.876674,85.06,91.78,17.75,4168682473.0090547,8595515979.681938,797089473.2347658,4601714142.876674,85.24,80.81,18.01,1612461653.9318733,8079860851.624849,797089473.2347658,4601714142.876674,85.35,61.65,18.25,292142867.4493487,7478901843.318507,797089473.2347658,4601714142.876674,85.56,22.64,18.67,54754119.37298484,6935473558.971151,797089473.2347658,4601714142.876674,85.68,4.86,18.96,41296120.62011508,1.1738448390404266e+16,26375863.023810275,7440099813196368.0,13348700.111832242,3752059831895320.0,7682823.505038392,2135710983251885.5,4980887.094831037,1335494709036966.0,3326077.3060394805,874986034690393.5,2512099.3957284857,644926331425300.5,1902276.0794997723,492741559683971.06,1499952.3551335698,387952264296845.8,1002661.5749597729,257798662362288.06,403792.1589341515,104338617287216.72,169391.86154684733,43733105317005.445,73844.20656800599,19009905943419.0,29460.76295977371,7552884182252.662,11651.403041516014,3027459519965.1167,4031.0723943614976,1049137027507.6682,1213.5184066446375,310803793191.0057,329.12475550211593,80668535821.70415,73.49078267261855,17015722067.96142,15.086372061016142,3396755611.0106,0.22329504326003077,47544162.29771279
